Departure,Destination,Date,Departure time,Arrival time,Stops,Flightnumber,Airports,Duration,Price
brussel,napels,13/06/2023,07:00,12:00,1,"['SN 2607', 'SN 7183']","['Brussels Airlines', 'Lufthansa']",300,548.67
brussel,napels,13/06/2023,06:55,12:25,1,"['LH 5629', 'LH 1876']","['Brussels Airlines', 'Lufthansa']",330,346.58
brussel,napels,13/06/2023,06:55,12:25,1,"['SN 2641', 'SN 7177']","['Brussels Airlines', 'Lufthansa']",330,346.58
brussel,palermo,13/06/2023,06:55,11:05,1,"['LH 5629', 'LH 1914']","['Brussels Airlines', 'EW Discover']",250,186.58
brussel,palermo,13/06/2023,06:55,13:55,1,"['LX 4545', 'LX 1742']","['Brussels Airlines', 'Air Baltic']",420,363.25
brussel,palermo,13/06/2023,06:20,13:55,2,"['LX 4551', 'LX 2807', 'LX 1742']","['Brussels Airlines', 'Swiss International Air Lines', 'Air Baltic']",455,433.62
brussel,palermo,13/06/2023,19:15,11:05,2,"['LH 5589', 'LH 122', 'LH 1914']","['Brussels Airlines', 'Lufthansa', 'EW Discover']",950,283.2
brussel,faro,13/06/2023,09:20,11:20,0,['SN 3801'],['Brussels Airlines'],180,151.14
brussel,faro,13/06/2023,09:35,15:00,1,"['LH 5625', 'LH 1786']","['Brussels Airlines', 'Lufthansa']",385,184.58
brussel,faro,13/06/2023,06:55,18:25,1,"['LX 4545', 'LX 8298']","['Brussels Airlines', 'Edelweiss Air']",750,262.25
brussel,faro,13/06/2023,17:05,23:50,1,"['SN 3819', 'TP 1909']","['Brussels Airlines', 'Tap Air Portugal']",465,291.25
brussel,faro,13/06/2023,09:15,17:20,1,"['SN 3815', 'TP 1903']","['Brussels Airlines', 'Tap Air Portugal']",545,291.25
brussel,alicante,13/06/2023,05:55,08:25,0,['SN 3771'],['Brussels Airlines'],150,90.14
brussel,ibiza,13/06/2023,12:40,15:05,0,['SN 3777'],['Brussels Airlines'],145,287.14
brussel,ibiza,13/06/2023,09:35,17:30,1,"['LH 5625', 'LH 1820']","['Brussels Airlines', 'EW Discover']",475,98.58
brussel,malaga,13/06/2023,11:55,14:45,0,['SN 3735'],['Brussels Airlines'],170,145.14
brussel,malaga,13/06/2023,16:25,19:20,0,['SN 3737'],['Brussels Airlines'],175,119.14
brussel,malaga,13/06/2023,07:00,12:10,1,"['LH 5587', 'LH 1148']","['Brussels Airlines', 'Lufthansa']",310,382.67
brussel,malaga,13/06/2023,06:50,12:55,1,"['OS 8172', 'OS 385']","['Brussels Airlines', 'Austrian Airlines']",365,192.38
brussel,malaga,13/06/2023,06:55,13:35,1,"['LH 5629', 'LH 1832']","['Brussels Airlines', 'Lufthansa']",400,375.58
brussel,malaga,13/06/2023,06:55,15:10,1,"['LX 4545', 'LX 2114']","['Brussels Airlines', 'Swiss International Air Lines']",495,187.25
brussel,palma-de-mallorca,13/06/2023,05:50,07:55,0,['SN 3765'],['Brussels Airlines'],125,142.14
brussel,palma-de-mallorca,13/06/2023,06:55,11:20,1,"['LH 5629', 'LH 1796']","['Brussels Airlines', 'EW Discover']",265,184.58
brussel,palma-de-mallorca,13/06/2023,07:00,12:25,1,"['LH 5587', 'LH 4302']","['Brussels Airlines', 'EW Discover']",325,314.67
brussel,palma-de-mallorca,13/06/2023,13:45,19:55,1,"['LH 5627', 'LH 5328']","['Brussels Airlines', 'Eurowings']",370,149.58
brussel,palma-de-mallorca,13/06/2023,06:50,13:05,1,"['OS 8172', 'OS 433']","['Brussels Airlines', 'Austrian Airlines']",375,377.38
brussel,palma-de-mallorca,13/06/2023,06:55,13:25,1,"['LH 5629', 'LH 5330']","['Brussels Airlines', 'EUROWINGS EUROPE LTD FOR EUROWINGS']",390,244.58
brussel,palma-de-mallorca,13/06/2023,13:45,20:15,1,"['LH 5627', 'LH 5334']","['Brussels Airlines', 'Eurowings']",390,149.58
brussel,tenerife,13/06/2023,13:20,17:00,0,['SN 3781'],['Brussels Airlines'],280,223.14
brussel,tenerife,13/06/2023,06:55,16:00,2,"['LH 5629', 'LH 101', 'LH 4380']","['Brussels Airlines', 'Lufthansa', 'EW Discover']",605,315.11
brussel,tenerife,13/06/2023,06:55,16:00,2,"['LH 5629', 'LH 99', 'LH 4380']","['Brussels Airlines', 'Lufthansa', 'EW Discover']",605,315.11
brussel,tenerife,13/06/2023,15:00,09:55,2,"['LX 4557', 'LX 2819', 'LX 8214']","['Brussels Airlines', 'Swiss International Air Lines', 'Edelweiss Air']",1195,208.62
brussel,corfu,13/06/2023,None,None,None,None,None,None,None
brussel,heraklion,14/06/2023,05:55,10:20,0,['SN 3255'],['Brussels Airlines'],205,158.14
brussel,heraklion,14/06/2023,06:55,14:15,1,"['LH 5629', 'LH 5922']","['Brussels Airlines', 'Aegean Airlines']",380,373.58
brussel,heraklion,14/06/2023,09:35,22:35,2,"['LH 5625', 'LH 109', 'LH 5912']","['Brussels Airlines', 'Lufthansa', 'Aegean Airlines']",720,552.11
brussel,heraklion,14/06/2023,09:35,22:35,2,"['LH 5625', 'LH 105', 'LH 5912']","['Brussels Airlines', 'Lufthansa', 'Aegean Airlines']",720,552.11
brussel,heraklion,14/06/2023,09:35,22:35,2,"['LH 5625', 'LH 111', 'LH 5912']","['Brussels Airlines', 'Lufthansa', 'Aegean Airlines']",720,552.11
brussel,rhodes,14/06/2023,None,None,None,None,None,None,None
brussel,brindisi,14/06/2023,12:35,15:15,0,['SN 3103'],['Brussels Airlines'],160,93.14
brussel,brindisi,14/06/2023,06:55,13:55,1,"['LX 4545', 'LX 1722']","['Brussels Airlines', 'Swiss International Air Lines']",420,349.25
