Luchthaven,Bestemming,Datum,Vertrektijdstip,Aankomsttijdstip,prijs,duur,aantalStops,vrijePlaatsen,VluchtNr,Flightkey
Brussels (Charleroi),Alicante,2023-04-14,17:20:00.000,19:45:00.000,78.99,02:25,0,3,FR 9053,FR~9053~ ~~CRL~04/14/2023 17:20~ALC~04/14/2023 19:45~~
Brussels (Charleroi),Ibiza,2023-04-14,16:15:00.000,18:40:00.000,26.99,02:25,0,3,FR 6456,FR~6456~ ~~CRL~04/14/2023 16:15~IBZ~04/14/2023 18:40~~
Brussels (Charleroi),Malaga,2023-04-14,10:00:00.000,12:45:00.000,88.74,02:45,0,-1,FR 1928,FR~1928~ ~~CRL~04/14/2023 10:00~AGP~04/14/2023 12:45~~
Brussels (Charleroi),Malaga,2023-04-14,20:55:00.000,23:40:00.000,67.12,02:45,0,2,FR 1916,FR~1916~ ~~CRL~04/14/2023 20:55~AGP~04/14/2023 23:40~~
Brussels (Charleroi),Tenerife (South),2023-04-14,06:30:00.000,10:05:00.000,76.39,04:35,0,1,FR 563,FR~ 563~ ~~CRL~04/14/2023 06:30~TFS~04/14/2023 10:05~~
Brussels (Charleroi),Heraklion Crete,2023-04-15,08:10:00.000,12:35:00.000,168.19,03:25,0,-1,FR 7986,FR~7986~ ~~CRL~04/15/2023 08:10~HER~04/15/2023 12:35~~
Brussels (Charleroi),Naples,2023-04-15,07:45:00.000,10:00:00.000,35.99,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~04/15/2023 07:45~NAP~04/15/2023 10:00~~
Brussels (Charleroi),Palermo,2023-04-15,21:30:00.000,23:59:00.000,96.2,02:29,0,4,FR 6269,FR~6269~ ~~CRL~04/15/2023 21:30~PMO~04/15/2023 23:59~~
Brussels (Charleroi),Faro,2023-04-15,11:05:00.000,13:00:00.000,115.79,02:55,0,5,FR 2941,FR~2941~ ~~CRL~04/15/2023 11:05~FAO~04/15/2023 13:00~~
Brussels (Charleroi),Alicante,2023-04-15,15:50:00.000,18:15:00.000,120.99,02:25,0,5,FR 3534,FR~3534~ ~~CRL~04/15/2023 15:50~ALC~04/15/2023 18:15~~
Brussels (Charleroi),Malaga,2023-04-15,13:35:00.000,16:20:00.000,116.69,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~04/15/2023 13:35~AGP~04/15/2023 16:20~~
Brussels (Charleroi),Corfu,2023-04-16,17:00:00.000,20:40:00.000,35.79,02:40,0,2,FR 6251,FR~6251~ ~~CRL~04/16/2023 17:00~CFU~04/16/2023 20:40~~
